question,correctAnswer,incorrectAnswer
In which year was the first iPhone released?,2007,2005
What is 9 squared?,Eighty One,Sixty Four
What is the French word for strawberry?,Fraise,Mange tout
How long is a snooker table?,Twelve feet,Sixteen feet
'I've started so I'll finish' is a phrase heard in which quiz show?,Mastermind,Only Connect
What is the capital city of Iceland?,Reykjavík,Ljubljana
What is the ninth letter of the NATO Phonetic alphabet?,India,Indigo
Who was the Greek god of gods?,Zeus,Hercules
Who was the first person to run a four-minute mile?,Roger Bannister,Stanley Matthews
"In the bible, who was the father of Isaac?",Abraham,Jacob
Who presents The Traitors?,Claudia Winkleman,Davina McCall
Who played Chewbacca in Star Wars?,Peter Mayhew,David Prowse
What is the name for sparkling Italian wine?,Prosecco,Champagne
What medal is presented to winners at the Olympics?,Gold,Platinum
What is the capital city of France?,Paris,Hamburg
Which magical double act always force the three of clubs?,Penn & Teller,Siegfried & Roy
Who was Henry VIII's first wife?,Catherine of Aragon,Anne Boleyn
Which animal features in the award-winning game 'Untitled'?,Goose,Goat
In which game engine is this game made?,Unity,Unreal
"On a standard Rubik's Cube, what colour is opposite white?",Yellow,Black
Who wrote the poem 'Dulce et Decorum est'?,Wilfred Owen,Siegfried Sassoon
How many keys are there on a full-size piano?,Eighty eight,Ninety Nine
Who created the iPad and iMac?,Apple,Samsung
In which country is KPX based?,Wales,Scotland
Who directed the film 'Gladiator'?,Ridley Scott,Martin Scorsese
